50 50
##################################################
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#    ###########        ###           ###        #
#    ###########        ###           ###        #
#    ###########        ###           ###        #
#    ###            ###########   ###########    #
#    ###            ###########   ###########    #
#    ###            ###########   ###########    #
#    ###########        ###           ###        #
#    ###########        ###           ###        #
#    ###########        ###           ###        #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
#                                                #
##################################################
